ano,mun,tipo_parto,qtde_partos,id_option_f1,nome_option_f1,id_option_f2,nome_option_f2,id_option_f3,nome_option_f3,id_option_f7,nome_option_f7
2005.0,520430,Vaginal,168,520430.0,Caçu,2.0,Sudoeste I,2.0,Sudoeste,2005.0,2005
2005.0,521010,Vaginal,388,521010.0,Ipameri,12.0,Estrada de Ferro,5.0,Centro Sudeste,2005.0,2005
2005.0,521190,Vaginal,1506,521190.0,Jataí,8.0,Sudoeste II,2.0,Sudoeste,2005.0,2005
2025.0,522230,Cesárea,25,522230.0,Vila Propício,13.0,São Patrício II,1.0,Centro Norte,2025.0,2025
2018.0,521980,Cesárea,22,521980.0,São Domingos,10.0,Nordeste II,3.0,Nordeste,2018.0,2018
2018.0,522100,Vaginal,24,522100.0,Taquaral de Goiás,1.0,Central,4.0,Centro Oeste,2018.0,2018
2006.0,520150,Vaginal,79,520150.0,Aporé,8.0,Sudoeste II,2.0,Sudoeste,2006.0,2006
2006.0,520396,Vaginal,50,520396.0,Buritinópolis,10.0,Nordeste II,3.0,Nordeste,2006.0,2006
2013.0,521878,Vaginal,29,521878.0,Rio Quente,12.0,Estrada de Ferro,5.0,Centro Sudeste,2013.0,2013
2024.0,520460,Cesárea,13,520460.0,Campestre de Goiás,1.0,Central,4.0,Centro Oeste,2024.0,2024
2012.0,522010,Cesárea,59,522010.0,São Luís de Montes Belos,16.0,Oeste II,4.0,Centro Oeste,2012.0,2012
2000.0,521450,Vaginal,340,521450.0,Nerópolis,1.0,Central,4.0,Centro Oeste,2000.0,2000
2021.0,520425,Cesárea,44,520425.0,Cachoeira Dourada,17.0,Sul,5.0,Centro Sudeste,2021.0,2021
2006.0,521410,Vaginal,51,521410.0,Mutunópolis,15.0,Norte,1.0,Centro Norte,2006.0,2006
2014.0,521990,Cesárea,10,521990.0,São Francisco de Goiás,1.0,Central,4.0,Centro Oeste,2014.0,2014
2015.0,520420,Vaginal,11,520420.0,Cachoeira de Goiás,16.0,Oeste II,4.0,Centro Oeste,2015.0,2015
2015.0,521390,Cesárea,5,521390.0,Mossâmedes,11.0,Rio Vermelho,4.0,Centro Oeste,2015.0,2015
2015.0,521970,Vaginal,111,521970.0,Santa Terezinha de Goiás,14.0,São Patrício I,1.0,Centro Norte,2015.0,2015
2015.0,521975,Vaginal,904,521975.0,Santo Antônio do Descoberto,6.0,Entorno Sul,3.0,Nordeste,2015.0,2015
2000.0,521945,Vaginal,34,521945.0,Santa Rita do Novo Destino,13.0,São Patrício II,1.0,Centro Norte,2000.0,2000
2021.0,522100,Cesárea,4,522100.0,Taquaral de Goiás,1.0,Central,4.0,Centro Oeste,2021.0,2021
2015.0,522157,Vaginal,24,522157.0,Uirapuru,14.0,São Patrício I,1.0,Centro Norte,2015.0,2015
1994.0,520830,Vaginal,47,520830.0,Divinópolis de Goiás,9.0,Nordeste I,3.0,Nordeste,1994.0,1994
2023.0,522020,Vaginal,175,522020.0,São Miguel do Araguaia,15.0,Norte,1.0,Centro Norte,2023.0,2023
1995.0,520640,Vaginal,457,520640.0,Crixás,14.0,São Patrício I,1.0,Centro Norte,1995.0,1995
2022.0,521645,Cesárea,23,521645.0,Perolândia,8.0,Sudoeste II,2.0,Sudoeste,2022.0,2022
2023.0,521690,Cesárea,4,521690.0,Pilar de Goiás,14.0,São Patrício I,1.0,Centro Norte,2023.0,2023
2025.0,521720,Cesárea,37,521720.0,Piranhas,18.0,Oeste I,4.0,Centro Oeste,2025.0,2025
1996.0,520505,Vaginal,90,520505.0,Castelândia,2.0,Sudoeste I,2.0,Sudoeste,1996.0,1996
2008.0,520390,Vaginal,112,520390.0,Buriti Alegre,17.0,Sul,5.0,Centro Sudeste,2008.0,2008
2007.0,522220,Vaginal,86,522220.0,Vila Boa,7.0,Entorno Norte,3.0,Nordeste,2007.0,2007
2019.0,520760,Vaginal,42,520760.0,Fazenda Nova,18.0,Oeste I,4.0,Centro Oeste,2019.0,2019
2019.0,521560,Vaginal,372,521560.0,Padre Bernardo,13.0,São Patrício II,1.0,Centro Norte,2019.0,2019
2016.0,520590,Cesárea,49,520590.0,Corumbaíba,12.0,Estrada de Ferro,5.0,Centro Sudeste,2016.0,2016
2016.0,520760,Vaginal,41,520760.0,Fazenda Nova,18.0,Oeste I,4.0,Centro Oeste,2016.0,2016
2003.0,520650,Vaginal,33,520650.0,Cromínia,3.0,Centro Sul,5.0,Centro Sudeste,2003.0,2003
2009.0,522026,Vaginal,54,522026.0,São Miguel do Passa Quatro,3.0,Centro Sul,5.0,Centro Sudeste,2009.0,2009
2009.0,520810,Vaginal,72,520810.0,Formoso,15.0,Norte,1.0,Centro Norte,2009.0,2009
1998.0,520850,Vaginal,60,520850.0,Goiandira,12.0,Estrada de Ferro,5.0,Centro Sudeste,1998.0,1998
2016.0,521890,Vaginal,223,521890.0,Rubiataba,14.0,São Patrício I,1.0,Centro Norte,2016.0,2016
2020.0,521200,Vaginal,8,521200.0,Jaupaci,18.0,Oeste I,4.0,Centro Oeste,2020.0,2020
2011.0,520015,Cesárea,2,520015.0,Adelândia,16.0,Oeste II,4.0,Centro Oeste,2011.0,2011
2018.0,520549,Cesárea,208,520549.0,Cidade Ocidental,6.0,Entorno Sul,3.0,Nordeste,2018.0,2018
2021.0,520025,Vaginal,2503,520025.0,Águas Lindas de Goiás,6.0,Entorno Sul,3.0,Nordeste,2021.0,2021
2011.0,522050,Vaginal,73,522050.0,Serranópolis,8.0,Sudoeste II,2.0,Sudoeste,2011.0,2011
2000.0,520660,Vaginal,38,520660.0,Cumari,12.0,Estrada de Ferro,5.0,Centro Sudeste,2000.0,2000
2013.0,520790,Cesárea,13,520790.0,Flores de Goiás,7.0,Entorno Norte,3.0,Nordeste,2013.0,2013
2018.0,521205,Vaginal,19,521205.0,Jesúpolis,1.0,Central,4.0,Centro Oeste,2018.0,2018
2018.0,521565,Vaginal,7,521565.0,Palestina de Goiás,18.0,Oeste I,4.0,Centro Oeste,2018.0,2018
2013.0,521830,Vaginal,454,521830.0,Posse,10.0,Nordeste II,3.0,Nordeste,2013.0,2013
2023.0,520490,Cesárea,70,520490.0,Campos Belos,9.0,Nordeste I,3.0,Nordeste,2023.0,2023
2012.0,521490,Vaginal,28,521490.0,Nova Roma,10.0,Nordeste II,3.0,Nordeste,2012.0,2012
2000.0,521020,Vaginal,494,521020.0,Iporá,18.0,Oeste I,4.0,Centro Oeste,2000.0,2000
2014.0,520170,Vaginal,128,520170.0,Aragarças,18.0,Oeste I,4.0,Centro Oeste,2014.0,2014
2021.0,520549,Vaginal,952,520549.0,Cidade Ocidental,6.0,Entorno Sul,3.0,Nordeste,2021.0,2021
